Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
InterPro_Domains_2019	Dynamin central domain	1/6	1.176907e-01	4.177246e-01	0	0	9.505825e+00	2.033957e+01	MX1
InterPro_Domains_2019	RecF/RecN/SMC, N-terminal	1/6	1.176907e-01	4.177246e-01	0	0	9.505825e+00	2.033957e+01	SMC1B
InterPro_Domains_2019	FAM69, protein-kinase domain	1/6	1.176907e-01	4.177246e-01	0	0	9.505825e+00	2.033957e+01	PKDCC
InterPro_Domains_2019	SEFIR domain	1/6	1.176907e-01	4.177246e-01	0	0	9.505825e+00	2.033957e+01	IL17RE
InterPro_Domains_2019	SMCs flexible hinge	1/6	1.176907e-01	4.177246e-01	0	0	9.505825e+00	2.033957e+01	SMC1B
InterPro_Domains_2019	Transient receptor ion channel domain	1/6	1.176907e-01	4.177246e-01	0	0	9.505825e+00	2.033957e+01	TRPC3
InterPro_Domains_2019	Zinc finger, CCCH-type	3/59	1.224462e-01	4.177246e-01	0	0	2.551960e+00	5.359328e+00	PAN3;ZC3H3;ZC3H13
InterPro_Domains_2019	Sterile alpha motif domain	4/93	1.264069e-01	4.177246e-01	0	0	2.142579e+00	4.431386e+00	SAMD15;SCML1;KAZN;TP73
InterPro_Domains_2019	GPCR, family 2-like	3/60	1.270315e-01	4.177246e-01	0	0	2.507060e+00	5.172869e+00	ADGRB1;SCTR;PTH1R
InterPro_Domains_2019	14-3-3 domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	YWHAE
InterPro_Domains_2019	Nuclear Testis  protein, N-terminal	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	NUTM2B
InterPro_Domains_2019	Peptidase M16, C-terminal	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	UQCRC1
InterPro_Domains_2019	Peptidase M16, N-terminal	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	UQCRC1
InterPro_Domains_2019	DIX domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	DVL2
InterPro_Domains_2019	Dynamin GTPase effector	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	MX1
InterPro_Domains_2019	Dynamin, GTPase domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	MX1
InterPro_Domains_2019	FAD-binding 8	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	NOX5
InterPro_Domains_2019	Ferric reductase, NAD binding domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	NOX5
InterPro_Domains_2019	STAT transcription factor, DNA-binding	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	STAT1
InterPro_Domains_2019	STAT transcription factor, all-alpha domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	STAT1
InterPro_Domains_2019	STAT transcription factor, protein interaction	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	STAT1
InterPro_Domains_2019	SUN domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	SUN2
InterPro_Domains_2019	Homeobox protein PKNOX/Meis, N-terminal	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	MEIS3
InterPro_Domains_2019	Homeobox protein SIX1, N-terminal SD domain	1/7	1.359158e-01	4.177246e-01	0	0	7.921117e+00	1.580833e+01	SIX2
InterPro_Domains_2019	GAGE	2/32	1.409677e-01	4.177246e-01	0	0	3.172263e+00	6.215175e+00	GAGE4;XAGE2
InterPro_Domains_2019	Zinc finger, RING-type	9/290	1.478773e-01	4.177246e-01	0	0	1.530549e+00	2.925448e+00	RNF43;TRIM6;RNF224;TRIM4;SIAH1;MUL1;RNF181;RNF5;RNF111
InterPro_Domains_2019	Ataxin-2, C-terminal	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	PAIP2
InterPro_Domains_2019	Methyl-CpG binding protein 2/3, C-terminal domain	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	MBD3L4
InterPro_Domains_2019	Methyl-CpG-binding domain protein 2/3, p55-binding region	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	MBD3L4
InterPro_Domains_2019	Enhancer of polycomb-like, N-terminal	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	EPC2
InterPro_Domains_2019	FCP1 homology domain	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	CTDSP2
InterPro_Domains_2019	SAND domain	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	AIRE
InterPro_Domains_2019	Folate receptor-like	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	HHIPL1
InterPro_Domains_2019	GTPase effector domain	1/8	1.537654e-01	4.177246e-01	0	0	6.789182e+00	1.271157e+01	MX1
InterPro_Domains_2019	Forkhead-associated (FHA) domain	2/34	1.553348e-01	4.177246e-01	0	0	2.973692e+00	5.537528e+00	MDC1;APTX
InterPro_Domains_2019	Interferon/interleukin receptor domain	1/9	1.712471e-01	4.368996e-01	0	0	5.940231e+00	1.048241e+01	IL20RA
InterPro_Domains_2019	Chaperone DnaJ, C-terminal	1/9	1.712471e-01	4.368996e-01	0	0	5.940231e+00	1.048241e+01	DNAJB1
InterPro_Domains_2019	Cullin homology domain	1/9	1.712471e-01	4.368996e-01	0	0	5.940231e+00	1.048241e+01	ANAPC2
InterPro_Domains_2019	VHS domain	1/9	1.712471e-01	4.368996e-01	0	0	5.940231e+00	1.048241e+01	STAM
InterPro_Domains_2019	Transforming growth factor-beta, C-terminal	2/37	1.773640e-01	4.410039e-01	0	0	2.718387e+00	4.701590e+00	BMP2;GDF7
InterPro_Domains_2019	RING-type zinc-finger, LisH dimerisation motif	2/38	1.848122e-01	4.410039e-01	0	0	2.642741e+00	4.462045e+00	TRIM6;RNF224
InterPro_Domains_2019	Serpin domain	2/38	1.848122e-01	4.410039e-01	0	0	2.642741e+00	4.462045e+00	SERPING1;SERPINA9
InterPro_Domains_2019	Arrestin C-terminal-like domain	1/10	1.883685e-01	4.410039e-01	0	0	5.279935e+00	8.814087e+00	SAG
